"","Id","LotArea","LotShape","LandContour","Utilities","LotConfig","Slope","DwellClass","OverallQuality","OverallCondition","YearBuilt","ExteriorCondition","BasementCondition","TotalBSF","CentralAir","LowQualFinSF","LivingArea","FullBath","HalfBath","BedroomAbvGr","KitchenQuality","KitchenAbvGr","Fireplaces","GarageType","GarageCars","PavedDrive","PoolArea","OpenPorchSF","MoSold","YrSold","SalePrice","X","X.1","LotShape_2","LotShape_3","LotShape_4","LandContour_HLS","LandContour_Low","LandContour_Lv1","Utilities_NoSewa","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","Slope_Mod","Slope_Sev","DwellClass_2fmCon","DwellClass_Duplex","DwellClass_Twnhs","DwellClass_TwnhsE","CentralAir_Y","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","PavedDrive_P","PavedDrive_Y","OverallQuality_2","OverallQuality_3","OverallQuality_4","OverallQuality_5","OverallQuality_6","OverallQuality_7","OverallQuality_8","OverallQuality_9","OverallQuality_10","OverallCondition_3","OverallCondition_4","OverallCondition_5","OverallCondition_6","OverallCondition_7","OverallCondition_8","OverallCondition_9","ExteriorCondition_Gd","ExteriorCondition_TA","BasementCondition_Fa","BasementCondition_Gd","BasementCondition_NB","KitchenQuality_Ex","KitchenQuality_Fa","KitchenQuality_Gd"
"11",1095,5868,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,7,1956,"TA","TA",936,"Y",0,936,1,0,2,"TA",1,0,"Attchd",1,"Y",0,0,5,2010,129000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"12",1409,7740,4,"Lvl","AllPub","Inside","Gtl","1Fam",4,7,1910,"TA","TA",622,"Y",0,1363,1,0,3,"TA",1,0,"Detchd",2,"Y",0,0,6,2010,125500,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"13",676,2289,4,"Lvl","AllPub","Inside","Gtl","Twnhs",6,6,1978,"TA","TA",855,"Y",0,1441,2,1,3,"TA",1,1,"Attchd",2,"Y",0,0,4,2009,148500,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"14",30,6324,3,"Lvl","AllPub","Inside","Gtl","1Fam",4,6,1927,"TA","TA",520,"N",0,520,1,0,1,"Fa",1,0,"Detchd",1,"Y",0,0,5,2008,68500,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"15",608,7800,4,"Bnk","AllPub","Inside","Mod","1Fam",5,8,1948,"Gd","Gd",896,"Y",0,2008,3,0,3,"Ex",1,0,"Attchd",1,"Y",0,0,8,2006,225000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
"16",1268,13214,3,"HLS","AllPub","Inside","Gtl","1Fam",9,5,2008,"TA","TA",2002,"Y",0,2018,2,0,3,"Ex",1,1,"Attchd",3,"Y",0,76,5,2010,378500,NA,NA,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"17",932,9100,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1965,"TA","TA",925,"Y",0,925,1,0,2,"TA",1,0,"Detchd",1,"Y",0,0,7,2009,117500,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"18",1047,16056,3,"Lvl","AllPub","Inside","Gtl","1Fam",9,5,2005,"TA","TA",1992,"Y",0,2868,3,1,4,"Ex",1,1,"BuiltIn",3,"Y",0,108,7,2006,556581,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"19",329,11888,3,"Bnk","AllPub","Inside","Gtl","1Fam",6,6,1916,"TA","TA",844,"N",0,2134,2,0,5,"Gd",1,0,"Detchd",2,"Y",0,60,7,2009,214500,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"20",547,8737,3,"Bnk","AllPub","Inside","Gtl","1Fam",6,7,1923,"TA","TA",1065,"Y",0,1635,1,1,3,"TA",1,1,"Detchd",2,"Y",0,38,5,2007,210000,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"21",1255,6931,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2003,"TA","TA",746,"Y",0,1656,2,1,3,"Gd",1,1,"BuiltIn",2,"Y",0,128,7,2008,165400,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"22",413,4403,2,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2009,"TA","TA",1470,"Y",0,1478,2,1,2,"Gd",1,1,"Attchd",2,"Y",0,144,6,2010,222000,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"23",227,9950,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1995,"TA","TA",1203,"Y",0,2520,2,1,4,"Gd",1,1,"Attchd",3,"Y",0,114,6,2007,290000,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"24",829,28698,2,"Low","AllPub","CulDSac","Sev","1Fam",5,5,1967,"TA","Gd",1013,"Y",0,2126,2,1,3,"TA",1,0,"Attchd",2,"Y",0,0,6,2009,185000,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"25",1394,10800,4,"Lvl","AllPub","Inside","Gtl","2fmCon",6,7,1905,"TA","TA",482,"N",0,1912,2,0,3,"TA",2,1,"Detchd",2,"Y",0,25,4,2008,163000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"26",98,10921,4,"HLS","AllPub","Inside","Gtl","1Fam",4,5,1965,"TA","TA",960,"Y",0,960,1,0,3,"TA",1,0,"Attchd",1,"P",0,0,5,2007,94750,NA,NA,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"27",571,13101,3,"Lvl","AllPub","Inside","Gtl","Duplex",5,5,1965,"TA","TA",1728,"Y",0,1728,2,0,6,"TA",2,0,"Detchd",2,"Y",0,0,11,2008,142600,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"28",140,15426,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1997,"TA","TA",1064.51174377224,"Y",0,1764,2,1,3,"Gd",1,0,"Attchd",2,"Y",0,99,8,2009,231500,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"29",1274,11512,3,"Lvl","AllPub","Corner","Gtl","1Fam",6,7,1959,"TA","TA",1019,"Y",0,1357,1,0,2,"Ex",1,1,"Basment",1,"Y",0,0,5,2008,177000,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"30",462,7200,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,9,1936,"Gd","Gd",560,"Y",0,1135,1,0,3,"Gd",1,0,"Detchd",2,"Y",0,0,4,2009,155000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
"31",895,7018,4,"Bnk","AllPub","Inside","Gtl","Duplex",5,5,1979,"TA","NB",0,"Y",0,1535,2,0,4,"TA",2,0,"Attchd",2,"Y",0,0,6,2009,118858,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"32",1110,11362,3,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,2004,"TA","TA",1836,"Y",0,1836,2,0,3,"Gd",1,1,"Attchd",3,"Y",0,185,3,2009,280000,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"33",137,10355,3,"Lvl","AllPub","Corner","Gtl","1Fam",5,5,1967,"TA","TA",1214,"Y",0,1214,2,0,3,"TA",1,1,"Attchd",1,"Y",0,111,7,2007,143000,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"34",1218,8640,4,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,2009,"TA","TA",1300,"Y",0,1314,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,112,9,2009,229456,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"35",349,2448,4,"Lvl","AllPub","Inside","Gtl","Twnhs",7,5,2003,"TA","TA",764,"Y",0,1626,2,1,2,"Gd",1,0,"BuiltIn",2,"Y",0,27,10,2008,154000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"36",71,13651,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,6,1973,"Gd","TA",2223,"Y",0,2223,2,0,3,"TA",1,2,"Attchd",2,"Y",0,0,2,2007,244000,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"37",1230,7910,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1960,"TA","TA",1075,"Y",0,1507,2,0,4,"TA",1,0,"Basment",1,"Y",0,0,8,2008,127000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"38",1163,8724,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1968,"TA","TA",894,"Y",0,894,1,0,3,"TA",1,1,"Attchd",2,"Y",0,0,5,2007,129000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"39",954,11075,3,"Lvl","AllPub","Inside","Mod","1Fam",5,4,1969,"TA","TA",784,"Y",0,1968,2,1,4,"TA",1,1,"Attchd",2,"Y",0,189,9,2008,172000,NA,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"40",296,7937,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",6,6,1984,"TA","TA",1003,"Y",0,1003,1,0,3,"TA",1,0,"Detchd",2,"Y",0,0,3,2006,142500,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"41",469,11428,3,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,2006,"TA","TA",1626,"Y",0,1517.22206703911,2,0,3,"Gd",1,1,"Attchd",3,"Y",0,44,5,2007,250000,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"42",614,8402,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,2007,"TA","TA",1120,"Y",0,1120,1,0,3,"TA",1,0,"Attchd",0,"Y",0,30,12,2007,147000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"43",87,11911,2,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,2005,"TA","TA",684,"Y",0,1560,2,1,3,"Gd",1,1,"BuiltIn",2,"Y",0,38,3,2009,174000,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"44",603,10041,3,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,1992,"TA","TA",908,"Y",0,1915,2,1,3,"Gd",1,1,"Attchd",2,"Y",0,150,2,2006,220000,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"45",211,5604,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1925,"TA","TA",864,"N",0,864,1,0,2,"TA",1,0,"Attchd",0,"Y",0,0,4,2008,98000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"46",274,9600,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,6,1958,"TA","TA",1240,"Y",0,1632,2,0,3,"TA",1,1,"Attchd",1,"Y",0,0,4,2009,139000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"47",1387,16692,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1978,"TA","TA",1392,"Y",0,2784,3,1,5,"Gd",1,2,"Attchd",2,"Y",519,112,7,2006,250000,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"48",572,7332,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,6,1959,"TA","TA",864,"Y",0,864,1,0,2,"Gd",1,0,"Attchd",1,"Y",0,0,10,2006,120000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"49",90,8070,4,"Lvl","AllPub","Inside","Gtl","1Fam",4,5,1994,"TA","TA",990,"Y",0,990,1,0,3,"TA",1,0,"Attchd",0,"Y",0,0,8,2007,123600,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"50",939,8760,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2006,"TA","Gd",1391,"Y",0,1962,2,1,3,"Gd",1,0,"Attchd",3,"Y",0,90,8,2006,239799,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
"51",687,10207,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,6,2007,"TA","TA",874,"Y",0,1761,3,0,3,"Gd",1,0,"Attchd",2,"Y",0,105,8,2007,227875,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"52",435,1890,4,"Lvl","AllPub","Inside","Gtl","Twnhs",4,7,1972,"Gd","TA",630,"Y",0,630,1,0,1,"TA",1,0,"Attchd",0,"Y",0,0,6,2008,81000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"53",842,10440,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,8,1904,"TA","TA",650,"Y",0,1539,2,0,3,"Gd",1,1,"Detchd",2,"P",0,78,6,2008,157500,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"54",393,8339,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,7,1959,"TA","NB",0,"Y",0,882,1,0,3,"TA",1,0,"Attchd",1,"Y",0,0,7,2007,106500,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"55",1383,7200,4,"Lvl","AllPub","Corner","Gtl","1Fam",7,7,1920,"TA","TA",1064.51174377224,"Y",0,1517.22206703911,1,1,4,"Gd",1,0,"Detchd",2,"N",0,0,10,2006,157000,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"56",284,9612,4,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,2008,"TA","TA",1468,"Y",0,1468,2,0,3,"Gd",1,1,"Attchd",3,"Y",0,150,12,2009,244600,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"57",288,8125,3,"Lvl","AllPub","Corner","Gtl","1Fam",4,4,1971,"TA","TA",858,"Y",0,858,1,0,3,"TA",1,0,"Attchd",0,"Y",0,0,6,2006,88000,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"58",894,13284,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1954,"TA","TA",1383,"Y",0,1383,1,0,3,"TA",1,1,"Attchd",1,"Y",0,116,6,2008,165000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"59",1451,9000,4,"Lvl","AllPub","FR2","Gtl","Duplex",5,5,1974,"TA","TA",1064.51174377224,"Y",0,1792,2,2,4,"TA",2,0,"Attchd",0,"Y",0,45,9,2009,136000,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"60",1320,10215,4,"Bnk","AllPub","Inside","Gtl","1Fam",4,5,1954,"TA","TA",864,"Y",0,948,1,0,3,"TA",1,0,"Attchd",1,"Y",0,0,2,2007,111000,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"61",221,8990,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2006,"TA","TA",1498,"Y",0,1498,2,0,2,"Gd",1,0,"Attchd",2,"Y",0,33,4,2006,204900,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
