"","Id","LotArea","LotShape","LandContour","Utilities","LotConfig","Slope","DwellClass","OverallQuality","OverallCondition","YearBuilt","ExteriorCondition","BasementCondition","TotalBSF","CentralAir","LowQualFinSF","LivingArea","FullBath","HalfBath","BedroomAbvGr","KitchenQuality","KitchenAbvGr","Fireplaces","GarageType","GarageCars","PavedDrive","PoolArea","OpenPorchSF","MoSold","YrSold","SalePrice","LandContour_HLS","LandContour_Low","LandContour_Lv1","Utilities_Allpub","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","Slope_Mod","Slope_Sev","DwellClass_2fmCon","DwellClass_Duplex","DwellClass_Twnhs","DwellClass_TwnhsE","CentralAir_Y","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","ExteriorCondition_Code","BasementCondition_Code","KitchenQuality_Code","PavedDrive_Code","Garage_Attchd_Cars","Garage_Detchd_Cars","Garage_BuiltIn_Cars","Garage_Basment_Cars","OverallQuality_YearBuilt","TotalBSF_Bedrooms","KitchenQuality_KitchenAbvGr","TotalBSF_BasementCondition","ExteriorCondition_Code_OverallCondition","ExteriorCondition_YearBuilt","SalesQuarter","SalesQuarter_MoSold","QtrSold","QtrSold_MoSold"
"1038",814,9750,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,6,1958,"TA","TA",1442,"Y",0,1442,1,1,4,"TA",1,0,"Attchd",1,"Y",0,0,4,2007,157900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,11748,5768,3,2884,12,3916,"Q2","Q2.4","2","2.4"
"1398",1383,7200,4,"Lvl","AllPub","Corner","Gtl","1Fam",7,7,1920,"TA","TA",1064.51174377224,"Y",0,1517.22206703911,1,1,4,"Gd",1,0,"Detchd",2,"N",0,0,10,2006,157000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,3,0,2,0,0,13440,4258.04697508897,2,2129.02348754448,14,3840,"Q4","Q4.10","4","4.10"
"665",212,10420,4,"Lvl","AllPub","Corner","Gtl","1Fam",6,5,2009,"TA","TA",1212,"Y",0,1212,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,22,3,2010,186000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,12054,3636,2,2424,10,4018,"Q1","Q1.3","1","1.3"
"602",113,9965,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2007,"TA","TA",1264,"Y",0,2696,2,1,4,"Ex",1,1,"BuiltIn",3,"Y",0,184,10,2007,383970,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,1,0,0,3,0,14049,5056,1,2528,10,4014,"Q4","Q4.10","4","4.10"
"709",281,11287,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,6,1989,"TA","TA",807,"Y",0,1982,2,1,3,"Gd",1,1,"Attchd",2,"Y",0,84,1,2007,228500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,13923,2421,2,1614,12,3978,"Q1","Q1.1","1","1.1"
"1011",776,4500,4,"Lvl","AllPub","FR2","Gtl","TwnhsE",6,5,1998,"TA","TA",1204,"Y",0,1204,2,0,2,"TA",1,0,"Attchd",2,"Y",0,247,6,2009,162000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11988,2408,3,2408,10,3996,"Q2","Q2.6","2","2.6"
"1115",939,8760,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2006,"TA","Gd",1391,"Y",0,1962,2,1,3,"Gd",1,0,"Attchd",3,"Y",0,90,8,2006,239799,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,1,3,0,0,0,14042,4173,2,1391,10,4012,"Q3","Q3.8","3","3.8"
"953",671,8633,4,"Lvl","AllPub","FR2","Gtl","1Fam",6,5,2005,"TA","TA",738,"Y",0,1476,2,1,3,"Gd",1,0,"Attchd",2,"Y",0,35,2,2009,173500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,12030,2214,2,1476,10,4010,"Q1","Q1.2","1","1.2"
"348",1036,11500,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",4,3,1957,"Gd","NB",0,"N",0,845,1,0,3,"TA",1,0,"Detchd",1,"N",0,0,1,2009,84000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,3,0,1,0,0,7828,0,3,0,3,1957,"Q1","Q1.1","1","1.1"
"1017",786,9790,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1967,"TA","TA",1372,"Y",0,1342,2,0,3,"TA",1,1,"Attchd",2,"Y",0,0,9,2009,161500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11802,4116,3,2744,10,3934,"Q3","Q3.9","3","3.9"
"1379",1353,6000,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,9,1937,"TA","TA",698,"Y",0,1176,1,0,2,"TA",1,0,"Detchd",2,"N",0,0,7,2009,134900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,3,0,2,0,0,11622,1396,3,1396,18,3874,"Q3","Q3.7","3","3.7"
"840",496,7879,4,"Lvl","AllPub","Inside","Gtl","1Fam",4,5,1920,"TA","TA",720,"N",0,720,1,0,2,"TA",1,0,"Attchd",0,"N",0,523,11,2009,34900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,3,0,0,0,0,7680,1440,3,1440,10,3840,"Q4","Q4.11","4","4.11"
"26",73,10141,3,"Lvl","AllPub","Corner","Gtl","1Fam",7,5,1998,"TA","TA",832,"Y",0,1718,2,1,3,"TA",1,1,"Attchd",2,"Y",0,94,12,2009,185000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,13986,2496,3,1664,10,3996,"Q4","Q4.12","4","4.12"
"519",1181,11170,2,"Lvl","AllPub","Corner","Gtl","1Fam",7,5,1990,"TA","TA",1216,"Y",0,2514,2,1,4,"TA",1,0,"Attchd",2,"Y",0,0,4,2006,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,13930,4864,3,2432,10,3980,"Q2","Q2.4","2","2.4"
"211",605,12803,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2002,"TA","TA",1494,"Y",0,1494,2,0,3,"Gd",1,1,"Attchd",2,"Y",0,36,9,2008,221000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14014,4482,2,2988,10,4004,"Q3","Q3.9","3","3.9"
"932",642,7050,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2001,"TA","TA",1057,"Y",0,1929,2,1,3,"Gd",1,1,"Attchd",2,"Y",0,235,5,2007,226000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14007,3171,2,2114,10,4002,"Q2","Q2.5","2","2.5"
"593",99,10625,4,"Lvl","AllPub","Corner","Gtl","1Fam",5,5,1920,"TA","TA",458,"N",0,835,1,0,2,"TA",1,0,"Basment",1,"Y",0,0,5,2010,83000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,1,0,0,0,1,9600,916,3,916,10,3840,"Q2","Q2.5","2","2.5"
"555",38,8532,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1954,"TA","TA",1297,"Y",0,1297,1,0,3,"TA",1,1,"Attchd",2,"Y",0,0,10,2009,153000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,9770,3891,3,2594,12,3908,"Q4","Q4.10","4","4.10"
"373",1129,11796,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2004,"TA","TA",847,"Y",0,1959,2,1,4,"Gd",1,1,"BuiltIn",2,"Y",0,48,7,2007,215000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,2,1,0,0,2,0,14028,3388,2,1694,10,4008,"Q3","Q3.7","3","3.7"
"844",502,9803,4,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2005,"TA","TA",866,"Y",0,1768,2,1,3,"Gd",1,0,"Attchd",2,"Y",0,108,2,2008,226700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14035,2598,2,1732,10,4010,"Q1","Q1.2","1","1.2"
"1167",1020,3013,4,"Lvl","AllPub","Inside","Gtl","TwnhsE",7,5,2005,"TA","TA",1362,"Y",0,1506,2,0,2,"Gd",1,1,"Attchd",2,"Y",0,20,4,2006,213490,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14035,2724,2,2724,10,4010,"Q2","Q2.4","2","2.4"
"544",22,7449,4,"Bnk","AllPub","Inside","Gtl","1Fam",7,7,1930,"TA","TA",637,"Y",0,1108,1,0,3,"Gd",1,1,"Attchd",1,"N",0,0,6,2007,139400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,3,1,0,0,0,13510,1911,2,1274,14,3860,"Q2","Q2.6","2","2.6"
"490",214,13568,2,"Lvl","AllPub","CulDSac","Gtl","1Fam",5,5,1995,"TA","TA",990,"Y",0,990,1,0,3,"TA",1,0,"Attchd",2,"Y",0,0,7,2006,156000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,9975,2970,3,1980,10,3990,"Q3","Q3.7","3","3.7"
"905",609,12168,4,"HLS","AllPub","Inside","Mod","1Fam",8,6,1934,"TA","TA",965,"Y",0,3194,2,1,4,"TA",1,2,"Basment",2,"Y",0,0,9,2007,359100,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,2,3,1,0,0,0,2,15472,3860,3,1930,12,3868,"Q3","Q3.9","3","3.9"
"937",649,7700,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1966,"TA","TA",756,"Y",0,1839,1,1,4,"TA",1,1,"Attchd",2,"Y",0,124,6,2010,155000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11796,3024,3,1512,10,3932,"Q2","Q2.6","2","2.6"
"1047",832,3180,4,"Lvl","AllPub","Inside","Gtl","TwnhsE",7,5,2005,"TA","TA",600,"Y",80,1200,2,1,2,"Gd",1,0,"Detchd",2,"Y",0,166,6,2006,151000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,2,2,1,0,2,0,0,14035,1200,2,1200,10,4010,"Q2","Q2.6","2","2.6"
"923",632,4590,4,"Lvl","AllPub","Inside","Gtl","Twnhs",8,5,2006,"TA","Gd",1554,"Y",0,1554,2,0,2,"Gd",1,1,"Attchd",2,"Y",0,73,8,2007,209500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,1,2,1,2,0,0,0,16048,3108,2,1554,10,4012,"Q3","Q3.8","3","3.8"
"956",675,9200,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,6,1965,"TA","TA",1136,"Y",0,1136,1,0,3,"TA",1,1,"Attchd",1,"Y",0,0,7,2008,140000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,11790,3408,3,2272,12,3930,"Q3","Q3.7","3","3.7"
"309",919,13125,3,"Lvl","AllPub","Corner","Gtl","1Fam",7,5,1991,"TA","TA",1104,"Y",0,2127,2,1,4,"Gd",1,1,"Attchd",3,"Y",0,192,11,2007,238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,3,0,0,0,13937,4416,2,2208,10,3982,"Q4","Q4.11","4","4.11"
"1159",1010,6000,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1926,"Fa","TA",1008,"Y",514,1522,2,0,4,"TA",1,0,"Attchd",0,"P",0,0,6,2006,102000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,2,3,2,0,0,0,0,9630,4032,3,2016,15,5778,"Q2","Q2.6","2","2.6"
"1248",1138,6342,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,8,1875,"Gd","TA",780,"N",0,1020,1,0,2,"TA",1,0,"Attchd",0,"N",0,0,5,2010,94000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,3,0,0,0,0,9375,1560,3,1560,8,1875,"Q2","Q2.5","2","2.5"
"166",488,12243,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1971,"TA","TA",1484,"Y",0,1484,2,0,3,"TA",1,1,"Attchd",2,"Y",0,0,2,2007,175000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,9855,4452,3,2968,12,3942,"Q1","Q1.2","1","1.2"
"217",641,12677,3,"Lvl","AllPub","Inside","Gtl","TwnhsE",8,5,2003,"TA","TA",1518,"Y",0,1518,1,1,1,"Ex",1,1,"Attchd",2,"Y",0,140,4,2008,274000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,1,1,2,0,0,0,16024,1518,1,3036,10,4006,"Q2","Q2.4","2","2.4"
"1314",1244,13891,4,"Lvl","AllPub","Inside","Gtl","1Fam",10,5,2006,"TA","Gd",2076,"Y",0,2076,2,1,2,"Ex",1,1,"Attchd",3,"Y",0,229,9,2006,465000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,3,0,0,0,20060,4152,1,2076,10,4012,"Q3","Q3.9","3","3.9"
"581",79,10778,4,"Lvl","AllPub","Inside","Gtl","Duplex",4,5,1968,"TA","TA",1768,"N",0,1768,2,0,4,"TA",2,0,"Attchd",0,"Y",0,0,4,2010,136500,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,2,3,1,0,0,0,0,7872,7072,6,3536,10,3936,"Q2","Q2.4","2","2.4"
"72",208,12493,3,"Lvl","AllPub","Inside","Gtl","1Fam",4,5,1960,"TA","TA",1100,"Y",0,1100,1,0,3,"TA",1,1,"Attchd",1,"Y",0,0,4,2008,141000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,7840,3300,3,2200,10,3920,"Q2","Q2.4","2","2.4"
"588",90,8070,4,"Lvl","AllPub","Inside","Gtl","1Fam",4,5,1994,"TA","TA",990,"Y",0,990,1,0,3,"TA",1,0,"Attchd",0,"Y",0,0,8,2007,123600,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,0,0,0,0,7976,2970,3,1980,10,3988,"Q3","Q3.8","3","3.8"
"141",405,10364,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1995,"TA","TA",806,"Y",0,1572,2,1,3,"TA",1,1,"BuiltIn",2,"Y",0,40,5,2007,168000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,3,1,0,0,2,0,11970,2418,3,1612,10,3990,"Q2","Q2.5","2","2.5"
"722",301,15750,4,"Lvl","AllPub","Corner","Gtl","2fmCon",5,5,1953,"TA","TA",1165,"Y",0,1336,1,0,2,"TA",1,2,"Attchd",1,"Y",0,0,6,2006,157000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,9765,2330,3,2330,10,3906,"Q2","Q2.6","2","2.6"
"859",531,10200,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1988,"TA","TA",1461,"Y",0,1509,2,0,3,"Gd",1,1,"Attchd",2,"Y",0,0,8,2008,175000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,1,2,0,0,0,11928,4383,2,2922,10,3976,"Q3","Q3.8","3","3.8"
"153",453,9303,3,"Lvl","AllPub","Corner","Gtl","1Fam",6,5,1996,"TA","TA",872,"Y",0,1756,2,1,3,"TA",1,0,"Attchd",2,"Y",0,122,7,2007,204000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11976,2616,3,1744,10,3992,"Q3","Q3.7","3","3.7"
"294",880,7000,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",5,8,1978,"Gd","TA",864,"Y",0,864,1,0,3,"TA",1,0,"Attchd",1,"Y",0,0,7,2009,136500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3,1,1,0,0,0,9890,2592,3,1728,8,1978,"Q3","Q3.7","3","3.7"
"277",820,6371,3,"Lvl","AllPub","Inside","Gtl","TwnhsE",7,5,2009,"TA","TA",1358,"Y",0,1358,2,0,2,"Gd",1,1,"Attchd",2,"Y",0,35,6,2010,224000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,2,1,2,0,0,0,14063,2716,2,2716,10,4018,"Q2","Q2.6","2","2.6"
"41",125,17043,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",6,5,1979,"Gd","Fa",1362,"Y",0,1586,2,0,3,"TA",1,1,"Attchd",2,"Y",0,0,1,2009,181000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,3,1,2,0,0,0,11874,4086,3,4086,5,1979,"Q1","Q1.1","1","1.1"
"431",1288,36500,3,"Low","AllPub","Inside","Mod","1Fam",5,5,1964,"Gd","TA",1624,"Y",0,1582,2,0,4,"TA",1,0,"Attchd",2,"N",0,198,6,2006,190000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,3,3,2,0,0,0,9820,6496,3,3248,5,1964,"Q2","Q2.6","2","2.6"
"90",267,11207,3,"HLS","AllPub","FR2","Gtl","1Fam",6,5,1997,"TA","TA",802,"Y",0,1511,2,1,3,"TA",1,1,"Attchd",2,"Y",0,75,6,2006,185000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,11982,2406,3,1604,10,3994,"Q2","Q2.6","2","2.6"
"316",936,5825,3,"Lvl","AllPub","Inside","Gtl","1Fam",4,5,1926,"Gd","TA",600,"Y",0,747,1,0,1,"TA",1,0,"Detchd",2,"Y",0,0,6,2006,79900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,0,2,0,0,7704,600,3,1200,5,1926,"Q2","Q2.6","2","2.6"
"1247",1137,9600,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1950,"TA","TA",1032,"Y",0,1252,1,0,3,"TA",1,0,"Attchd",1,"Y",0,0,4,2008,119000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,1,0,0,0,11700,3096,3,2064,10,3900,"Q2","Q2.4","2","2.4"
"528",1108,23257,1,"HLS","AllPub","CulDSac","Gtl","1Fam",7,5,2006,"TA","Gd",868,"Y",0,2021,2,1,3,"Gd",1,1,"BuiltIn",2,"Y",0,100,9,2006,274725,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,2,1,0,0,2,0,14042,2604,2,868,10,4012,"Q3","Q3.9","3","3.9"
"1140",980,8816,4,"Lvl","AllPub","Corner","Gtl","1Fam",5,6,1963,"TA","TA",1121,"Y",0,1121,1,0,3,"TA",1,0,"Detchd",2,"Y",0,80,6,2009,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,2,0,0,9815,3363,3,2242,12,3926,"Q2","Q2.6","2","2.6"
"774",397,7200,4,"Low","AllPub","Inside","Gtl","1Fam",5,5,1972,"TA","TA",894,"Y",0,894,1,0,2,"TA",1,0,"Detchd",2,"Y",0,0,9,2009,123000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,1,0,2,0,0,9860,1788,3,1788,10,3944,"Q3","Q3.9","3","3.9"
"747",346,6435,4,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1939,"TA","TA",972,"Y",0,1577,1,0,3,"Fa",1,1,"Detchd",1,"Y",0,0,10,2006,140200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,4,1,0,1,0,0,11634,2916,4,1944,10,3878,"Q4","Q4.10","4","4.10"
"456",1358,12537,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",5,6,1971,"TA","TA",1078,"Y",0,1078,1,1,3,"TA",1,1,"Attchd",2,"Y",0,0,4,2010,149900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,9855,3234,3,2156,12,3942,"Q2","Q2.4","2","2.4"
"598",107,10800,4,"Lvl","AllPub","Inside","Gtl","1Fam",4,7,1885,"TA","TA",641,"Y",0,1047,1,0,2,"TA",1,0,"Detchd",1,"N",0,0,8,2007,100000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,3,3,0,1,0,0,7540,1282,3,1282,14,3770,"Q3","Q3.8","3","3.8"
"1063",855,17920,4,"Lvl","AllPub","Inside","Gtl","1Fam",5,4,1955,"TA","TA",1763,"Y",0,1779,1,1,3,"TA",1,1,"Attchd",2,"Y",0,418,7,2006,170000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,9775,5289,3,3526,8,3910,"Q3","Q3.7","3","3.7"
"1183",1041,13125,4,"Lvl","AllPub","Corner","Gtl","1Fam",5,4,1957,"TA","TA",1134,"Y",0,1803,2,0,3,"TA",1,1,"Attchd",2,"Y",0,0,1,2006,155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,3,1,2,0,0,0,9785,3402,3,2268,8,3914,"Q1","Q1.1","1","1.1"
"752",358,4224,4,"Lvl","AllPub","Inside","Gtl","TwnhsE",5,5,1976,"TA","TA",1142,"Y",0,1142,1,1,3,"TA",1,1,"Attchd",2,"Y",0,90,8,2007,134000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,3,1,2,0,0,0,9880,3426,3,2284,10,3952,"Q3","Q3.8","3","3.8"
