"","Id","LotArea","LotShape","LandContour","Utilities","LotConfig","Slope","DwellClass","OverallQuality","OverallCondition","YearBuilt","ExteriorCondition","BasementCondition","TotalBSF","CentralAir","LowQualFinSF","LivingArea","FullBath","HalfBath","BedroomAbvGr","KitchenQuality","KitchenAbvGr","Fireplaces","GarageType","GarageCars","PavedDrive","PoolArea","OpenPorchSF","MoSold","YrSold","SalePrice","X","X.1","LandContour_HLS","LandContour_Low","LandContour_Lv1","Utilities_NoSewa","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","Slope_Mod","Slope_Sev","DwellClass_2fmCon","DwellClass_Duplex","DwellClass_Twnhs","DwellClass_TwnhsE","CentralAir_Y","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","LotShape_Code","ExteriorCondition_Code","BasementCondition_Code","KitchenQuality_Code","PavedDrive_Code"
"11",25,8246,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,8,1968,"Gd","TA",1060,"Y",0,1060,1,0,3,"Gd",1,1,"Attchd",1,"Y",0,90,5,2010,154000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,1,2,2,1
"12",29,16321,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",5,6,1957,"TA","TA",1484,"Y",0,1600,1,0,2,"TA",1,2,"Attchd",1,"Y",0,258,12,2006,207500,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"13",30,6324,3,"Lvl","AllPub","Inside","Gtl","1Fam",4,6,1927,"TA","TA",520,"N",0,520,1,0,1,"Fa",1,0,"Detchd",1,"Y",0,0,5,2008,68500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,2,2,4,1
"14",32,8544,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",5,6,1966,"TA","TA",1228,"Y",0,1228,1,1,3,"Gd",1,0,"Attchd",1,"Y",0,65,6,2008,149350,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"15",34,10552,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1959,"TA","TA",1398,"Y",0,1700,1,1,4,"Gd",1,1,"Attchd",2,"Y",0,38,4,2010,165500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"16",43,9180,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",5,7,1983,"TA","TA",840,"Y",0,884,1,0,2,"Gd",1,0,"Attchd",2,"Y",0,0,12,2007,144000,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"17",44,9200,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",5,6,1975,"TA","TA",938,"Y",0,938,1,0,3,"TA",1,0,"Detchd",1,"Y",0,0,7,2008,130250,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,2,2,3,1
"18",47,12822,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",7,5,2003,"TA","TA",1434,"Y",0,2149,1,1,1,"Gd",1,1,"Attchd",2,"Y",0,43,8,2009,239686,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"19",54,50271,3,"Low","AllPub","Inside","Gtl","1Fam",9,5,1981,"TA","TA",1842,"Y",0,1842,0,1,0,"Gd",1,1,"Attchd",3,"Y",0,72,11,2006,385000,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"20",56,10175,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1964,"TA","TA",1425,"Y",0,1425,2,0,3,"TA",1,1,"Attchd",2,"Y",0,0,7,2008,180500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"21",58,11645,3,"Lvl","AllPub","Corner","Gtl","1Fam",7,5,2004,"TA","TA",860,"Y",0,1720,2,1,3,"Gd",1,0,"Attchd",2,"Y",0,70,8,2006,196500,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"22",63,6442,3,"Lvl","AllPub","Inside","Gtl","TwnhsE",8,5,2006,"TA","Gd",1370,"Y",0,1517.22206703911,2,0,2,"Gd",1,1,"Attchd",2,"Y",0,49,10,2007,202500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,NA,2,1,2,1
"23",64,10300,3,"Bnk","AllPub","Inside","Gtl","1Fam",7,6,1921,"TA","TA",576,"Y",0,1710,2,0,3,"TA",1,0,"Detchd",2,"Y",0,11,4,2010,140000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,2,2,3,1
"24",68,10665,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2003,"TA","TA",1453,"Y",0,1479,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,29,6,2007,226000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"25",71,13651,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,6,1973,"Gd","TA",2223,"Y",0,2223,2,0,3,"TA",1,2,"Attchd",2,"Y",0,0,2,2007,244000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,1,2,3,1
"26",73,10141,3,"Lvl","AllPub","Corner","Gtl","1Fam",7,5,1998,"TA","TA",832,"Y",0,1718,2,1,3,"TA",1,1,"Attchd",2,"Y",0,94,12,2009,185000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"27",77,8475,3,"Lvl","AllPub","Inside","Gtl","1Fam",4,7,1956,"TA","TA",952,"Y",0,952,1,0,2,"TA",1,0,"Detchd",1,"Y",0,0,4,2008,135750,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,2,2,3,1
"28",84,8892,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1960,"TA","TA",1065,"Y",0,1065,1,1,3,"TA",1,0,"Detchd",2,"Y",0,0,7,2007,126500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,2,2,3,1
"29",85,8530,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1995,"TA","TA",1064.51174377224,"Y",0,1474,2,1,3,"TA",1,1,"BuiltIn",2,"Y",0,72,5,2009,168500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,NA,2,2,3,1
"30",89,8470,3,"Lvl","AllPub","Corner","Gtl","1Fam",3,2,1915,"Fa","Fa",1013,"N",513,1526,1,0,2,"Fa",1,0,"Attchd",0,"N",0,0,10,2009,85000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,3,3,4,3
"31",93,13360,3,"HLS","AllPub","Inside","Gtl","1Fam",5,7,1921,"Gd","TA",1064.51174377224,"Y",0,964,1,0,2,"TA",1,0,"Detchd",2,"Y",0,0,8,2009,163500,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,1,2,3,1
"32",95,9337,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1997,"Gd","TA",1064.51174377224,"Y",0,1786,2,1,3,"Gd",1,0,"Attchd",2,"Y",0,162,5,2007,204750,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,1,2,2,1
"33",97,10264,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1999,"TA","TA",1588,"Y",0,1588,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,29,8,2006,214000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"34",100,9320,3,"Lvl","AllPub","Inside","Gtl","1Fam",4,5,1959,"TA","TA",1064.51174377224,"Y",0,1225,1,1,3,"TA",1,0,"Attchd",0,"Y",0,0,1,2010,128950,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"35",101,10603,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,7,1977,"TA","TA",1610,"Y",0,1610,2,0,3,"Gd",1,2,"Attchd",2,"Y",0,68,2,2010,205000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"36",104,10402,3,"Lvl","AllPub","Corner","Gtl","1Fam",7,5,2009,"TA","TA",1226,"Y",0,1226,2,0,3,"Gd",1,0,"Attchd",3,"Y",0,36,5,2010,198900,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"37",110,11751,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,6,1977,"TA","TA",1844,"Y",0,1844,2,0,3,"TA",1,1,"Attchd",2,"Y",0,122,1,2010,190000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"38",112,7750,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2000,"TA","TA",1064.51174377224,"Y",0,1430,2,1,3,"TA",1,1,"BuiltIn",2,"Y",0,0,4,2010,180000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,NA,2,2,3,1
"39",115,7259,3,"Lvl","AllPub","Inside","Mod","1Fam",6,8,1945,"TA","TA",1028,"Y",0,2320,2,1,3,"Gd",1,1,"Detchd",1,"Y",0,0,7,2007,259500,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,NA,2,2,2,1
"40",121,21453,3,"Low","AllPub","CulDSac","Sev","1Fam",6,5,1969,"TA","TA",938,"Y",0,988,1,0,1,"TA",1,2,"Attchd",2,"Y",0,130,10,2006,180000,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"41",125,17043,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",6,5,1979,"Gd","Fa",1362,"Y",0,1586,2,0,3,"TA",1,1,"Attchd",2,"Y",0,0,1,2009,181000,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,1,3,3,1
"42",127,4928,3,"Lvl","AllPub","Inside","Gtl","TwnhsE",6,5,1976,"TA","TA",1078,"Y",0,958,2,0,2,"TA",1,1,"Attchd",2,"Y",0,205,2,2007,128000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,NA,2,2,3,1
"43",128,4388,3,"Bnk","AllPub","Inside","Gtl","1Fam",5,7,1930,"Gd","TA",672,"Y",0,840,1,0,3,"TA",1,1,"Attchd",0,"N",0,0,6,2007,87000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,1,2,3,3
"44",132,12224,3,"Lvl","AllPub","Corner","Gtl","1Fam",6,5,2000,"TA","TA",992,"Y",0,1517.22206703911,2,1,3,"Gd",1,1,"BuiltIn",2,"Y",0,48,7,2009,244000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,2,2,2,1
"45",134,6853,3,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,2001,"TA","TA",1267,"Y",0,1296,2,0,2,"Gd",1,0,"Attchd",2,"Y",0,25,6,2009,220000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"46",135,10335,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1968,"TA","TA",1461,"Y",0,1721,2,1,3,"TA",1,1,"Attchd",2,"Y",0,96,7,2006,180000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"47",137,10355,3,"Lvl","AllPub","Corner","Gtl","1Fam",5,5,1967,"TA","TA",1214,"Y",0,1214,2,0,3,"TA",1,1,"Attchd",1,"Y",0,111,7,2007,143000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"48",139,9066,3,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,1999,"TA","TA",1004,"Y",0,1852,2,1,3,"Gd",1,2,"Attchd",3,"Y",0,106,12,2008,230000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"49",140,15426,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1997,"TA","TA",1064.51174377224,"Y",0,1764,2,1,3,"Gd",1,0,"Attchd",2,"Y",0,99,8,2009,231500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"50",144,10335,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1999,"TA","TA",1064.51174377224,"Y",0,1501,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,29,6,2009,204000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"51",148,9505,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",7,5,2001,"TA","TA",1064.51174377224,"Y",0,2035,2,1,3,"Gd",1,1,"BuiltIn",2,"Y",0,48,5,2010,222500,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,2,2,2,1
"52",153,14803,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",6,5,1971,"TA","TA",1064.51174377224,"Y",0,1993,2,1,4,"TA",1,1,"Attchd",2,"Y",0,66,6,2006,190000,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"53",160,19378,3,"HLS","AllPub","Corner","Gtl","1Fam",7,5,2005,"TA","TA",1064.51174377224,"Y",0,2462,2,1,4,"Gd",1,1,"Attchd",2,"Y",0,132,3,2006,320000,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"54",161,11120,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",6,6,1984,"TA","TA",1232,"Y",0,1232,2,0,3,"TA",1,0,"Attchd",2,"Y",0,0,6,2008,162500,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"55",162,13688,3,"Lvl","AllPub","Inside","Gtl","1Fam",9,5,2003,"TA","TA",1572,"Y",0,2668,2,1,3,"Ex",1,2,"BuiltIn",3,"Y",0,0,3,2008,412500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,NA,2,2,1,1
"56",167,10708,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,5,1955,"TA","TA",1617,"Y",0,1867,1,0,2,"TA",1,3,"Attchd",1,"Y",0,0,11,2009,190000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"57",169,8244,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2004,"TA","TA",1064.51174377224,"Y",0,1720,2,1,3,"Gd",1,1,"Attchd",2,"Y",0,48,5,2007,183500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"58",170,16669,3,"Lvl","AllPub","Corner","Gtl","1Fam",8,6,1981,"TA","TA",1686,"Y",0,1707,2,1,2,"TA",1,1,"Attchd",2,"Y",0,64,1,2006,228000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"59",171,12358,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1941,"TA","TA",1064.51174377224,"Y",528,1382,1,1,2,"TA",1,0,"Detchd",2,"Y",0,0,5,2007,128500,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,2,2,3,1
"60",172,31770,3,"Lvl","AllPub","Corner","Gtl","1Fam",6,5,1960,"TA","Gd",1080,"Y",0,1656,1,0,3,"TA",1,2,"Attchd",2,"P",0,62,5,2010,215000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,1,3,2
"61",173,5306,3,"Lvl","AllPub","Inside","Gtl","TwnhsE",7,7,1987,"Gd","Gd",1064,"Y",0,1767,2,0,2,"Gd",1,1,"Attchd",2,"Y",0,35,6,2006,239000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,NA,1,1,2,1
"62",174,10197,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1961,"TA","TA",1362,"Y",0,1362,1,1,3,"TA",1,1,"Attchd",2,"Y",0,20,6,2008,163000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"63",175,12416,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,1986,"TA","Fa",1606,"Y",0,1651,2,0,3,"TA",1,1,"Attchd",2,"Y",0,0,11,2008,184000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,3,3,1
"64",177,10029,3,"Lvl","AllPub","Corner","Gtl","1Fam",6,5,1988,"TA","TA",1151,"Y",0,2060,2,1,4,"TA",1,1,"Attchd",2,"Y",0,228,9,2007,211000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"65",179,17423,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",9,5,2008,"TA","TA",2216,"Y",0,2234,2,0,1,"Ex",1,1,"Attchd",3,"Y",0,60,7,2009,501837,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,1,1
"66",185,7438,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,8,1908,"TA","TA",504,"Y",0,1252,1,0,3,"TA",1,0,"Attchd",2,"Y",0,0,6,2006,127000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"67",187,9947,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",7,5,1990,"TA","TA",1188,"Y",0,1217,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,27,6,2009,173000,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"68",192,7472,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",7,9,1972,"TA","TA",725,"Y",0,1479,1,1,4,"Gd",1,0,"Attchd",2,"Y",0,32,6,2007,184000,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"69",193,9017,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1999,"TA","TA",1431,"Y",0,1431,2,0,3,"Gd",1,0,"Attchd",2,"Y",0,35,9,2009,192000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"70",195,7180,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,7,1972,"TA","TA",864,"Y",0,864,1,0,3,"TA",1,0,"Detchd",1,"Y",0,0,5,2008,127000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,2,2,3,1
"71",207,13673,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",5,5,1962,"Gd","TA",1140,"Y",0,1696,1,1,3,"TA",1,1,"Attchd",1,"Y",0,30,3,2007,143900,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,1,2,3,1
"72",208,12493,3,"Lvl","AllPub","Inside","Gtl","1Fam",4,5,1960,"TA","TA",1100,"Y",0,1100,1,0,3,"TA",1,1,"Attchd",1,"Y",0,0,4,2008,141000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"73",209,14364,3,"Low","AllPub","Inside","Mod","1Fam",7,5,1988,"TA","TA",1157,"Y",0,2062,2,1,3,"TA",1,1,"Attchd",2,"Y",0,55,4,2007,277000,NA,NA,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"74",215,10900,3,"Lvl","AllPub","FR2","Gtl","1Fam",6,7,1977,"TA","TA",689,"Y",0,1392,1,1,3,"TA",1,0,"Attchd",1,"Y",0,36,3,2010,161750,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,3,1
"75",216,10011,3,"Lvl","AllPub","Inside","Gtl","1Fam",5,6,1957,"TA","TA",1070,"Y",0,1236,1,0,2,"Gd",1,1,"Attchd",1,"Y",0,0,5,2006,134450,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"76",219,15660,3,"Lvl","AllPub","Corner","Gtl","1Fam",7,9,1939,"Gd","TA",798,"Y",0,1954,1,1,3,"Gd",1,2,"Attchd",2,"Y",0,119,5,2008,311500,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,1,2,2,1
"77",221,8990,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,2006,"TA","TA",1498,"Y",0,1498,2,0,2,"Gd",1,0,"Attchd",2,"Y",0,33,4,2006,204900,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"78",222,8068,3,"Lvl","AllPub","Inside","Gtl","1Fam",6,5,2002,"TA","TA",1010,"Y",0,2267,2,1,4,"Gd",1,1,"BuiltIn",2,"Y",0,46,12,2009,200000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,NA,2,2,2,1
"79",227,9950,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1995,"TA","TA",1203,"Y",0,2520,2,1,4,"Gd",1,1,"Attchd",3,"Y",0,114,6,2007,290000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"80",232,15138,3,"Lvl","AllPub","Inside","Gtl","1Fam",8,5,1995,"TA","TA",1462,"Y",0,2794,2,1,4,"Ex",1,1,"Attchd",3,"Y",0,146,7,2009,403000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,1,1
"81",238,9453,3,"Lvl","AllPub","CulDSac","Gtl","1Fam",7,7,1993,"TA","TA",996,"Y",0,1744,2,1,3,"Gd",1,0,"Attchd",2,"Y",0,70,2,2010,194500,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
"82",245,8880,3,"Lvl","AllPub","Inside","Gtl","1Fam",7,5,1994,"TA","TA",948,"Y",0,2110,2,1,3,"Gd",1,2,"Attchd",2,"Y",0,130,5,2010,205000,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,2,2,2,1
